zoneID,repVoteshare,totalVotes
13243,45.95,2569.0
13245,44.79,57538.0
13247,65.05,24490.0
13249,60.55,1176.0
13251,52.43,4719.0
13253,53.93,2877.0
13255,61.39,15391.0
13257,65.18,8376.0
13259,34.76,1954.0
13261,50.52,9697.0
13263,33.68,2531.0
13265,32.77,832.0
13267,64.69,5610.0
13269,51.31,2780.0
13271,48.79,3493.0
13273,48.7,3113.0
13275,59.33,12058.0
13277,65.31,10328.0
13279,62.93,7210.0
13281,66.0,4497.0
13283,54.71,1963.0
13285,63.71,17804.0
13287,51.83,2456.0
13289,44.26,3615.0
13291,67.19,6956.0
13293,61.38,8282.0
13295,66.03,18895.0
13297,70.28,19083.0
13299,63.67,9628.0
13301,43.82,2145.0
13303,47.63,6691.0
13305,65.61,8004.0
13307,39.89,909.0
13309,51.95,1575.0
13311,70.69,7043.0
13313,69.27,23302.0
13315,58.94,2365.0
13317,51.31,4026.0
13319,48.86,3740.0
13321,63.14,6061.0
15001,37.29,50860.0
15003,42.05,255990.0
15005,NA,NA
15007,32.83,21773.0
15009,35.41,39248.0
16001,64.87,123485.0
16003,81.46,1909.0
16005,62.59,30852.0
16007,81.62,2899.0
16009,74.44,3687.0
16011,76.25,14465.0
16013,48.49,7938.0
16015,73.05,3055.0
16017,67.44,14537.0
16019,77.55,33556.0
16021,77.07,3884.0
16023,74.86,1460.0
16025,76.06,507.0
16027,74.27,43000.0
16029,84.56,3177.0
16031,84.63,7279.0
16033,83.16,382.0
16035,77.43,3896.0
16037,81.18,2330.0
16039,72.66,6966.0
16041,87.51,4243.0
16043,85.85,5088.0
16045,76.48,5983.0
16047,73.2,5026.0
16049,83.03,7452.0
16051,85.49,7836.0
16053,76.46,6007.0
16055,67.62,43812.0
16057,59.04,15311.0
16059,81.24,3641.0
16061,79.45,1688.0
16063,70.59,1574.0
16065,90.68,8970.0
16067,78.5,6518.0
16069,67.92,16021.0
16071,82.29,1798.0
16073,79.73,3188.0
16075,75.12,6858.0
16077,71.26,2709.0
16079,56.41,5385.0
16081,70.79,2671.0
16083,73.22,22530.0
16085,69.3,3978.0
16087,74.74,4070.0
17001,58.69,30109.0
17003,40.25,4022.0
17005,55.42,7032.0
17007,57.07,15523.0
17009,58.67,2660.0
17011,52.37,16823.0
17013,48.4,2602.0
17015,55.2,7177.0
17017,51.55,5899.0
17019,49.38,74285.0
17021,52.57,14771.0
17023,60.0,7512.0
17025,63.14,6135.0
17027,57.16,15427.0
17029,54.1,20093.0
